Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG01918	13.2368	0.9888
HG01920	1.6842	0.492
HG01921	3.049	0.7532
HG01923	2.1259	0.5998
HG01924	3.3706	0.7939
HG01926	1.4882	0.4305
HG01927	3.511	0.8051
HG01932	2.6256	0.6941
HG01933	12.1691	0.9848
HG01935	6.0958	0.9265
HG01936	1.5636	0.4561
HG01938	1.7699	0.5192
HG01939	6.1595	0.9289
HG01941	6.7578	0.9409
HG01942	9.7689	0.9716
HG01944	2.5561	0.6849
HG01945	1.4103	0.4014
HG01947	2.3317	0.6462
HG01948	2.6999	0.7029
HG01950	1.6581	0.4824
HG01951	2.2696	0.6298
HG01953	3.4336	0.7991
HG01954	2.7927	0.7196
HG01956	0.6104	0.0319
HG01958	1.3408	0.373
HG01961	4.0821	0.8399
HG01965	4.1549	0.8454
HG01967	7.5966	0.9513
HG01968	15.1561	0.9948
HG01970	2.3354	0.6474
HG01971	2.4259	0.6637
HG01973	7.3566	0.9481
HG01974	2.0581	0.5879
HG01976	7.4603	0.9493
HG01977	3.8091	0.8243
HG01979	2.1244	0.5994
HG01980	6.0964	0.9269
HG01982	1.8899	0.5495
HG01985	0.8754	0.1573
HG01986	0.9315	0.1841
HG01988	1.0717	0.2512
HG01989	1.5858	0.4625
HG01990	0.8116	0.1154
HG01991	16.9624	0.9968
HG01992	1.6731	0.4896
HG01997	2.4349	0.6673
HG02002	1.9221	0.5571
HG02003	2.1968	0.615
HG02006	2.0178	0.5783
HG02008	12.8199	0.9872
HG02009	5.612	0.9101
HG02010	0.7225	0.0731
HG02012	1.2066	0.3167
HG02013	2.0428	0.5843
HG02014	0.757	0.0879
HG02016	8.3771	0.9637
HG02017	1.8778	0.5459
HG02019	2.1784	0.609
HG02020	1.6688	0.4864
HG02023	6.6101	0.9381
HG02025	3.0774	0.7572
HG02026	3.7856	0.8231
HG02028	5.0485	0.8922
HG02029	9.7464	0.9712
HG02031	3.0688	0.7556
HG02032	4.5322	0.8674
HG02035	1.5323	0.4473
HG02040	5.8808	0.9201
HG02047	5.8369	0.9181
HG02048	8.1092	0.9597
HG02049	6.8497	0.9421
HG02050	1.2635	0.3403
HG02051	0.8466	0.137
HG02052	1.3176	0.3618
HG02053	1.5284	0.4457
HG02054	0.8008	0.111
HG02057	1.672	0.4892
HG02058	1.3731	0.3834
HG02060	4.6455	0.8718
HG02061	9.0911	0.9685
HG02064	8.4511	0.9645
HG02067	1.2036	0.3143
HG02069	2.19	0.6134
HG02070	3.2697	0.7847
HG02072	2.0767	0.5911
HG02073	0.808	0.113
HG02075	2.9654	0.74
HG02076	0.8754	0.1573
HG02078	1.5719	0.4585
HG02079	31.1496	1
HG02081	1.8436	0.5375
HG02082	1.3047	0.3546
HG02084	3.2782	0.7863
HG02085	2.789	0.7185
HG02086	7.8186	0.9557
HG02087	12.4286	0.9856
HG02088	2.0138	0.5775
HG02089	10.5234	0.978
HG02090	14.391	0.9916
HG02095	0.7783	0.099
HG02102	5.8439	0.9189
HG02104	11.9341	0.984
HG02105	2.8329	0.7236
HG02107	0.8515	0.1406
HG02108	0.6622	0.0523
HG02111	0.6877	0.0587
HG02113	1.7155	0.5012
HG02116	3.4761	0.8019
HG02121	5.165	0.895
HG02122	2.793	0.72
HG02127	6.7978	0.9413
HG02128	3.9789	0.8355
HG02130	4.071	0.8395
HG02131	7.0125	0.9441
HG02133	1.5563	0.4537
HG02134	4.114	0.8431
HG02136	3.9928	0.8359
HG02137	4.7398	0.8774
HG02138	1.7616	0.5172
HG02139	3.1928	0.774
HG02140	1.0553	0.246
HG02141	4.2469	0.8494
HG02142	2.5063	0.6777
HG02143	2.7088	0.7037
HG02144	1.2739	0.345
HG02146	13.3819	0.9892
HG02147	12.9695	0.988
HG02150	3.1065	0.7624
HG02151	3.3095	0.7887
HG02152	1.6731	0.4896
HG02153	6.7538	0.9405
